ID|CO(GT)|Season|PT08.S1(CO)|PT08.S2(NMHC)|PT08.S2_NMHC_to_PT08.S1_CO_Ratio|NMHC(GT)|NOx(GT)|PT08.S3(NOx)|NO2(GT)|PT08.S4(NO2)|PT08.S5(O3)
0|0,7|Summer|913.0|743.0|0.8138006571741512|-200.0|65.0|931.0|66.0|1540.0|884.0
1|3,6|Summer|1196.0|1303.0|1.089464882943144|-200.0|218.0|654.0|139.0|2017.0|1199.0
2|2,4|Fall|1071.0|885.0|0.8263305322128851|-200.0|284.0|740.0|133.0|1298.0|1090.0
3|4|Winter|978.0|1031.0|1.0541922290388548|-200.0|341.0|765.0|149.0|1066.0|968.0
4|2,4|Winter|996.0|998.0|1.002008032128514|-200.0|417.0|2318.0|128.0|1136.0|1060.0
5|1,4|Spring|1217.0|947.0|0.7781429745275267|-200.0|66.0|887.0|85.0|1566.0|648.0
6|1,2|Winter|1198.0|758.0|0.6327212020033389|-200.0|142.0|698.0|107.0|1277.0|1001.0
7|1,4|Summer|1003.0|907.0|0.9042871385842473|-200.0|76.0|862.0|91.0|1427.0|680.0
8|4,1|Spring|1239.0|1272.0|1.026634382566586|-200.0|214.0|748.0|144.0|1790.0|1380.0
9|1,6|Spring|961.0|789.0|0.8210197710718002|-200.0|330.0|839.0|169.0|910.0|816.0
10|1,7|Winter|1178.0|876.0|0.7436332767402377|-200.0|209.0|666.0|119.0|1319.0|1059.0
11|1,3|Winter|1053.0|680.0|0.6457739791073125|-200.0|166.0|890.0|108.0|1166.0|807.0
12|0,8|Spring|951.0|583.0|0.6130389064143007|-200.0|89.0|905.0|63.0|1212.0|624.0
13|1,3|Spring|963.0|835.0|0.8670820353063343|-200.0|59.0|1029.0|68.0|1495.0|556.0
14|0,6|Winter|900.0|525.0|0.5833333333333334|-200.0|97.0|1090.0|85.0|780.0|696.0
15|0,4|Summer|772.0|584.0|0.7564766839378239|-200.0|19.0|1149.0|27.0|1414.0|566.0
16|0,3|Spring|855.0|751.0|0.8783625730994152|-200.0|27.0|1107.0|46.0|1418.0|664.0
17|4,8|Fall|1622.0|1312.0|0.8088779284833539|-200.0|765.0|477.0|187.0|1727.0|1804.0
18|2,5|Winter|1152.0|1036.0|0.8993055555555556|-200.0|372.0|670.0|120.0|1206.0|1365.0
19|0,7|Spring|925.0|602.0|0.6508108108108108|40.0|45.0|1398.0|59.0|1263.0|562.0
20|4,1|Winter|1165.0|1024.0|0.878969957081545|-200.0|759.0|646.0|310.0|1134.0|1365.0
21|0,1|Winter|1127.0|884.0|0.7843833185448092|-200.0|248.0|704.0|136.0|1173.0|983.0
22|-200|Summer|872.0|710.0|0.8142201834862385|-200.0|-200.0|956.0|-200.0|1377.0|493.0
23|2,4|Winter|1146.0|985.0|0.8595113438045375|-200.0|304.0|650.0|206.0|1236.0|952.0
24|-200|Spring|1418.0|1023.0|0.7214386459802539|-200.0|-200.0|785.0|-200.0|1720.0|1410.0
25|11,9|Fall|2008.0|1980.0|0.9860557768924303|-200.0|1389.0|325.0|220.0|2562.0|2342.0
26|1,6|Summer|1069.0|867.0|0.8110383536014967|-200.0|92.0|785.0|65.0|1717.0|880.0
27|4,2|Winter|1364.0|1234.0|0.9046920821114369|-200.0|529.0|504.0|190.0|1533.0|1606.0
28|-200,0|Spring|940.0|583.0|0.6202127659574468|-200.0|93.0|942.0|69.0|991.0|416.0
29|-200|Winter|1301.0|1080.0|0.830130668716372|-200.0|-200.0|579.0|-200.0|1435.0|1248.0
30|2,3|Winter|1192.0|978.0|0.8204697986577181|-200.0|415.0|638.0|113.0|1273.0|1210.0
31|2,7|Spring|1263.0|1037.0|0.8210609659540776|166.0|216.0|969.0|143.0|1598.0|1167.0
32|3,7|Fall|1476.0|1352.0|0.9159891598915989|-200.0|365.0|474.0|112.0|1996.0|1568.0
33|2,3|Fall|1331.0|1082.0|0.8129226145755072|-200.0|274.0|588.0|80.0|1689.0|1252.0
34|1,2|Summer|1009.0|824.0|0.8166501486620417|-200.0|35.0|822.0|44.0|1606.0|670.0
35|1,4|Spring|1161.0|904.0|0.7786391042204995|70.0|92.0|947.0|107.0|1502.0|1240.0
36|-200|Winter|913.0|735.0|0.8050383351588171|-200.0|-200.0|905.0|-200.0|1024.0|706.0
37|1,6|Fall|1110.0|872.0|0.7855855855855856|-200.0|308.0|822.0|150.0|971.0|1393.0
38|2,4|Summer|1056.0|1051.0|0.9952651515151515|-200.0|163.0|826.0|116.0|1758.0|1078.0
39|-200|Fall|901.0|608.0|0.6748057713651499|-200.0|-200.0|1105.0|-200.0|1299.0|646.0
40|-200|Winter|777.0|493.0|0.6344916344916345|-200.0|-200.0|1247.0|-200.0|828.0|438.0
41|3,3|Summer|1157.0|1245.0|1.0760587726879862|-200.0|236.0|665.0|187.0|1782.0|1211.0
42|2,6|Spring|1343.0|1096.0|0.8160833953834699|294.0|191.0|839.0|115.0|1587.0|1311.0
43|2,2|Summer|1118.0|1079.0|0.9651162790697675|-200.0|135.0|638.0|68.0|1761.0|1145.0
44|-200|Spring|867.0|625.0|0.720876585928489|-200.0|-200.0|1213.0|-200.0|1385.0|652.0
45|1,2|Spring|1197.0|750.0|0.6265664160401002|38.0|89.0|1337.0|96.0|1393.0|949.0
46|2,3|Summer|1109.0|1080.0|0.9738503155996393|-200.0|111.0|696.0|102.0|1874.0|1190.0
47|-200|Fall|1428.0|1393.0|0.9754901960784313|-200.0|-200.0|490.0|-200.0|1976.0|1608.0
48|4,7|Spring|1440.0|1443.0|1.0020833333333334|-200.0|232.0|635.0|162.0|2068.0|1594.0
49|2,3|Winter|959.0|924.0|0.9635036496350365|-200.0|316.0|899.0|137.0|993.0|897.0
50|0,4|Summer|759.0|566.0|0.7457180500658761|-200.0|-200.0|1175.0|-200.0|1267.0|503.0
51|4,4|Fall|1261.0|1446.0|1.1467089611419508|-200.0|358.0|528.0|154.0|2061.0|1346.0
