ID|CO(GT)|Season|PT08.S1(CO)|PT08.S2(NMHC)|PT08.S2_NMHC_to_PT08.S1_CO_Ratio|NMHC(GT)|NOx(GT)|PT08.S3(NOx)|NO2(GT)|PT08.S4(NO2)|PT08.S5(O3)|RH
0|2,1|Fall|1204.0|10000.0|0.9435215946843853|-200.0|346.0|648.0|112.0|1782.0|1491.0|49,4
1|-200|Fall|1105.0|1074.0|0.971945701357466|-200.0|-200.0|712.0|-200.0|1457.0|1050.0|46,0
2|0,2|Spring|828.0|690.0|0.8333333333333334|-200.0|48.0|1263.0|61.0|1353.0|658.0|44,2
3|1,9|Spring|1160.0|794.0|0.6844827586206896|-200.0|284.0|658.0|120.0|1356.0|966.0|77,7
4|1,5|Winter|818.0|725.0|0.8863080684596577|-200.0|246.0|1065.0|127.0|849.0|694.0|35,8
5|1,9|Winter|1077.0|852.0|0.7910863509749304|-200.0|325.0|773.0|108.0|1302.0|969.0|80,4
6|3|Spring|1326.0|1265.0|0.9539969834087482|468.0|160.0|757.0|136.0|1835.0|1246.0|21,5
7|0,5|Spring|888.0|528.0|0.5945945945945946|-200.0|77.0|1077.0|53.0|987.0|578.0|59,9
8|-200|Summer|996.0|848.0|0.8514056224899599|-200.0|-200.0|763.0|-200.0|1657.0|713.0|49,8
9|-200|Fall|1242.0|1158.0|0.9323671497584541|-200.0|-200.0|602.0|-200.0|1682.0|1252.0|53,0
10|-200|Spring|805.0|534.0|0.6633540372670808|-200.0|28.0|1454.0|40.0|1112.0|409.0|34,1
11|3,3|Winter|1016.0|780.0|0.7677165354330708|-200.0|255.0|798.0|145.0|1004.0|1060.0|64,4
12|1,7|Summer|1032.0|940.0|0.9108527131782945|-200.0|102.0|862.0|85.0|1703.0|733.0|30,9
13|2,1|Fall|1045.0|1087.0|1.0401913875598086|-200.0|-200.0|712.0|-200.0|1270.0|1144.0|42,4
14|2,8|Spring||974.0|0.7401215805471124|-200.0|188.0|883.0|123.0|1673.0|1272.0|49,1
15|1,9|Summer|-200.0|-200.0|1.0|-200.0|103.0|-200.0|88.0|-200.0|-200.0|-200
16|1,5|Spring|984.0|829.0|0.842479674796748|-200.0|99.0|1003.0|85.0|1516.0|787.0|61,8
17|1,9|Spring|1153.0|878.0|0.7614917606244579|-200.0|409.0|682.0|139.0|1180.0|1173.0|77,3
18|1,9|Summer|1086.0|973.0|0.8959484346224678|-200.0|121.0|766.0|104.0|1656.0|1089.0|39,2
19|1,4|Spring|918.0|748.0|0.8148148148148148|138.0|81.0|1228.0|76.0|1219.0|505.0|24,9
20|-200|Fall|924.0|766.0|0.829004329004329|-200.0|-200.0|902.0|-200.0|1357.0|752.0|60,4
